cleaned_text,sentimen
sudah monopoli dikorupsi lagi benar benar indonesiagelap sementara itu kasus kasus psn pagar laut pik rempang morowalidan danantara sementara nyingkir oleh pertamax oplosan apalagi adilijokowi dan makzulkanfufufafa,negatif
sumpah indonesia kacau banget mulai dari efisiensi danantara korupsi terus saham jadi jeblok banget pulihnya kapan ya indonesiagelap gws,negatif
telur mahal rakyat disuruh bertelur logika sampah indonesiagelap,negatif
makin jelas kepentingan siapa indonesiagelap kaburajadulu mahkamaagungbikinresah timah,netral
bayangin rosan dagang danantara ke investor asing dengan omongan kayak gitu omg were so doomed indonesiagelap,negatif
percayalah tingkat ketidakpercayaan masyarakat kepada pemerintah akan mengalami penurunan total silahkan lakukan survei bagi lembaga survei tapi jangan dilakukan oleh lembaga survei pesanan selama ini indonesiagelap,negatif
bayangkan itu semua untuk memperbaiki sektor pendidikan sektor infrastrukstur dan hal positif berguna lainnya sudah seharusnya koruptor dihukum mati bukan membayar denda dan membayar segala lini untuk mendapatkan keringanan hukuman kill them indonesiagelap,negatif
akhirnya masih banyak yang menjadi bijak dalam memutuskan kemana harus berlabuh setelah kapal tangker pertalite disulap jadi pertamax oleng dan dioplos walau mahal itulah perlawanan dan itu akan menjadi teguran keras sampai peringatan bahaya bagi pemerintah indonesiagelap daruratakhlak,negatif
lah ini kan anggota dpr kok mendengar arahan dari udah seperti dulu harmoko mendapat arahan soeharto memang indonesiagelap,negatif
salus populi suprema lex esto mt cicero kedaulatan keselamatan rakyat adalah kebijaksanaan hukum tertinggi indonesiagelap indonesiagelap adilijokowi,positif
dengerin rosan debat sama raymond chin di rosi gue tarik kesimpulan masih lebih meyakinkan sales mlm kalo dagang anjir indonesiagelap,positif
kasus migas timah nikel sawit serta kasus kasus lain menjadi bukti negeri ini menjadi negeri para mafia nyatanya memang indonesiagelap itu nyata kekayaan alam didalamnya digunakan untuk memakmurkan mafia,negatif
pejabatnya main tentara tentaraan aparatnya main serbu serbuan badan usahanya main oplosoplosan uang negara di mainmainkan lewat investasi pendidikannya fokus isi perut daripada isi otak indonesiagelap indonesiaemas,negatif
anjaaaay speechless lelah sama menteri wamen utusan khusus dan prabowo frenz lainnya bisa jangan pada asbun nggak sih gini nih cara komunikasi pemerintah indonesiagelap,negatif
kasus ini menunjukkan bahwa dalam sistem hukum kita ada ruang besar bagi ketidakadilan yang berpotensi merugikan siapa saja termasuk harvey moeis indonesiagelap hanyamimpi hariprabowogibran kabinetgemuk harveymoeis,netral
indonesiagelap gatau kapan terangnya,negatif
bro pikir bro masih presiden indonesiagelap,negatif
astaghfirullah indonesiagelap saveorangutantapanuli missinglink,netral
ingat lagu bang iwan jadilah penjilat yg paling tepat indonesiagelap tambahgelap makingelap gelapgulita suram hidup anies baswedan,negatif
sehat untuk para pemimpin hancur untuk indonesia indonesiacemas apakah danantara mampu menghasilkan t dalam waktu tahun seperti halnya kartel migas yang telah menggasak t dari bbm oplosan dalam waktu tahun indonesiagelap,negatif
pantas prabowo menolak indonesiagelap sekelas kades aja punya uang m,netral
orang orang koruptor junjungannya mulyono sudah banyak ketangkap oleh kejagung hingga kpk ternak mulyono amp mulyono pasti kaget jokowipredatorkorup rezimkoruptor fufufafaaibnasional indonesiagelap,negatif
tanpa putusan pengadilan pt jasindo bumn bisa bisa nya melakukan eksekusi mengambil paksa rumah bpk rasikin hukum suka suka indonesiagelap indonesiagelap,netral
kamu dimana kak adilijokowi darkindonesia daruratkorupsi indonesiagelap mahasiswa,netral
harusnya semua yg terkait dgn persekongkolan tsb dihukum gantung setelah semua asset kekayaan mrk disita oleh negara pasti sesak di dada seluruh rakyat republik ini dpt menjadi lapang kembali indonesiagelap indonesiagelap adilijokowi adilijokowi,positif
efek domino korupsi indonesiagelap,netral
lagi cape banget sama kasus korupsi indonesia kayaknya yang ini bakal jadi sejarah tentang korupsi ternyesek di negara ini maraknya hastag kaburajadulu dan mirisnya hukuman koruptor tidak seberat itu di negara ini indonesiagelap,negatif
indonesiagelap bayarpolisi bayarpolisi bayar bayar polisi polisi lagi one day one case oknum polisi kuhp kasi uang habis perkara kalau bisa dipersulit ngapain dipermudah priiit priiit priiit k sekarang memalukan menjijikkan disgusting,negatif
kawinin aja indonesiagelap makingelap tambahgelap gelapgulita suram,negatif
kuadriliun seberapa byk lembarnya cok mmg koruptor tai abis ini yg byr kerugian y masyarakat dri pajak naek pajak usaha pajak konser inilah itulah shame on you koruptor² hama indonesiagelap kaburajadulu,negatif
rame rame pindah negara indonesia cemas indonesiagelap,negatif
kek taeek kerja klian pantas saja jokowi gibran pun ijasah tak jelas bisa lolos indonesiagelap adilijokowi,negatif
hebat min kelen juara tiga periode ke depan tingkatkan lagi ya biar dapet ranking satu indonesiagelap,positif
ratapan ibu pertiwi indonesiacemas indonesiagelap cintaindonesia bangkitindonesia jayaindonesiaku,positif
indonesiagelap krn emang udah malem he he he,negatif
kirain mo negasin oposisi ternyata oposisi taik kucing indonesiagelap,netral
jokowi jilid dua ndasmu indonesiagelap,netral
rakyat mengumpat tdk masalah brolah ini yang mengumpat ndasmuuu plesiden bro apa kata dunia punya presiden mulut nya mulut comberan sekeraskerasnya pak harto tapi mulut pak harto masih berwibawa tdk salah jika keluarga cendana mengusir bowo indonesiagelap,negatif
pantes gelap ternyata aph nya juga bersikap gak jelas indonesiagelap kaburajadulu timah babel,negatif
adu narasinya kaya bocah sekelas menteri yatuhan ya perusahaan itu nyuruh orangngehire orang buat nanam itu pagar intinya tetep yg nyuruh orang itu ya perusahaan goblok menteri kok goblok narasinya indonesiagelap pagarlaut,negatif
lepas dari mulut pinokio masuk mulut buaya buntung indonesiagelap daruratindonesia makingelap gelapgulita suram,negatif
sudah ngomong gak berani jawab itu lah si bambang hero kejagung t indonesiagelap kaburajadulu revisiruukejaksaan,negatif
para para pemimpin dan juga konglo negeri ini kan orangnya bersih mbah dan integritasnya sangat tinggi yang bobrok dan bajingan mah cuma bawahan baca kacungnya aja iya nggak kondisi kek gini kok ga percaya kalo indonesiagelap emang susah kalo jadi oplosannya wiwi,negatif
bayangin dan gak di hukum mati karna mikiran ham dia keterlaluan indonesiagelap,negatif
batuk batuk indonesiagelap indonesiacemas bycorruptfromcorruptforcorrupt,netral
baru menjabat aja udah terbukti kkn pecatyandrisusanto indonesiagelap adilijokowi,netral
megawati diperiksa jadi tersangka langsung ditahan agar indonesia bubar tak perlu nunggu kelamaan indonesiagelap,netral
para maling uang negara yang bilang terang ndasmu peyokkkkkkk indonesiagelap,negatif
nggak kerjaan ininegrikriminal daruratkorupsi indonesiagelap darkindonesia darkpik,negatif
nggak kerjaan ini negri kriminal daruratkorupsi indonesiagelap darkindonesia darkpik,negatif
ternyata ada yang lebih bobrok dari emyu indonesiagelap,negatif
ngomong apa dia mana bisa dipercaya lebih baik emas berada di masayarakat drpada ntar kau embat indonesiagelap adili,negatif
begini nih kalo udel dikasih nyawa indonesiagelap ckckck,negatif
bangsat emang kalian pikir masyarakat bodoh dasar para pejabat korup indonesiagelap,negatif
soalnya yang gelap sudah indonesiagelap saja,negatif
indonesiaterang buat para maling pengemplang penyamun kekuasaan indonesiagelap,negatif
nggak kaleng ni kades ininegrikriminal indonesiagelap darkindonesia darkpik,netral
pemecatan vokalis sukatani skandal besar di balik pintu tertutup mekanisme yayasan yang terlalu gelap transparansi tak pernah ada maxyourscore karinaxpradafw ronaldinhoadadishopee pertaminasarangkoruptor pertamaxoplosan indonesiagelap,netral
mending balik ke cina dah lu idup dah enak jadi researcher disana kerjanya jelas juga di cina sana mending mengundurkan diri dari negara hancur ini indonesiabubar indonesiandasmu indonesiagelap,negatif
ide bagus nih buat stock mock up gedung atau baliho yang bingung dipake buat apa hahahahaah indonesiagelap adatamakdalampertamak,positif
mahasiswa dari beberapa kampus di solo raya kembali menggelar aksi lanjutan di depan kantor dprd kota solo pada kamis sore indonesiagelap,netral
ngapain nih org korup msh main presidenan gila si wowo biarin aja si wiwi msh berkuasa sakit nih negara indonesiagelap,negatif
aturananticintajkt ayu dewi hancur nenek regi datau wafat secara mengejutkan dugaan kuat ada skandal gelap di balik kepergiannya karinaxpradafw ronaldinhoadadishopee caineinblack pertaminasarangkoruptor pertamaxoplosan indonesiagelap,netral
bocil kosong anak haram konstitusi indonesiagelap,netral
mo apa cak ininegrikriminal indonesiagelap darkindonesia darkpik,netral
berita buruk muncul setiap hari kebijakan dibuat tidak berpihak kepada rakyat yg menyebabkan aksi demo beberapa minggu lalu memang betul tajuk indonesiagelap hanya berlaku untuk rakyat buktinya mereka yg menjabat sedang bersenangsenang,negatif
terus kenapa nggak dibebasin ini bener contoh betapa indonesiagelap,negatif
selama msh gandeng kita doakan nyungsep indonesiagelap,netral
tidak salah kalau indonesiagelap,negatif
percayalah banyak kd itu sdh ingin pulang dari magelang salah alasannya mungkin karena pasca dilantik blm masuk kantor kecuali beberapa kd dari yg sempat menunda keberangkatan kemarin hal lain mungkin karena banyaknya biaya pilkada kemarin indonesiagelap,netral
jt itu buat operasional lho jd anggarannya buat action pengadaan ini itu ya ga ada sebenernya ini alusnya ya mau dbubarin aja itu knd buset dah jtthnpropinsi indonesiagelap,negatif
kuasa hukum baim wong bantah isu kdrt antara baim wong dan paula verhoeven sebut berita itu tidak berdasar karinaxpradafw ronaldinhoadadishopee caineinblack pertaminasarangkoruptor pertamaxoplosan indonesiagelap,negatif
tetap indonesiagelap meski pfp gemes,positif
biarin aja bentar lagi youtube podcast dibatasi biar miskin ladangnya di bakar kayak hotman waktu kenaikan pajak hiburan indonesiagelap kabinetkorup,negatif
negara penghilang barang bukti padahal penghilangan barang bukti adlah kejahatan terbesar dalam rekam jejak manusia km kebakarannya pusat arsip bukti lejahatan di indonesia indonesiagelap,negatif
pertamina tegaskan pertamax tak pernah dioplos kualitas yang dijaga dengan harga jutaan namun ada rahasia besar yang disembunyikan ronaldinhoadadishopee caineinblack pertaminasarangkoruptor pertamaxoplosan indonesiagelap,negatif
indonesiagelap semakin gelap karena partai setengan inci,negatif
gini amat punya ketum indonesiagelap,positif
gak mungkin dong di pecat presiden sendiri juga jasil cawe cawe masak jeruk makan jeruk indonesiagelap,negatif
tsundere rkj pake kacamata item gara gara indonesiagelap kah jot,negatif
berkhayal ditengah indonesiagelap,negatif
binatang jahanam memang indonesiagelap,negatif
negara hampir bangkrut mending simpan di rumah kalau sudah bangkrut mala makin besar keuntungannya seperti krisis dulu indonesiagelap kabinetkorup,negatif
gelapnya dunia pendidikan di indonesia gaji guru di bos tertera rp tetapi yg diberikan ke guru hanya rp bajingan indonesiagelap indonesiagelap,negatif
makin jadi dah indonesiagelap indonesiagelap,negatif
bagaimana investor asing mau menginvestasikan uangnya di indonesia kalo di indonesia itu banyak tikus tikus berdasi penanganan kasus yang selalu redup dan hukuman yang sama sekali tidak setimpal dengan yang mereka berbuat indonesiagelap,negatif
dari gambar dibawah ini kita tahu siapa sebenarnya si wowo revolusisekarang indonesiagelap,netral
mungkin mau mencontoh keluarga mulyono indonesiagelap,netral
maklum iseh rame indonesiagelap,negatif
menurut haidar alwi revisi undang kejaksaan akan mengulang kembali tragedi tolak ruu kejaksaan indonesiagelap,netral
perlu adanya mogok kuliah pak dosen sebagai wujud ketidak sesuaian kebijakan dengan makna tri dharma perguruan tinggi satu sisi kuatkah guru² kami survive mengajarkan kami tanpa menerima haknya yg telah diatur oleh undang undang indonesiagelap,positif
bacot aja gede nyali ciut lu basmi koruptor di lungkaran lu dulu brani ga lu cc in uu perampasan aset miskinkan koruptor lu kan dah di pucuk dpr pun di kuasai oleh koalisi lu slogan selalu rela mati untuk rakyat ndas mu indonesiagelap,negatif
indonesiagelap ndasmu penjilat mulyono terbukti kembali mengotori wajah pemerintahan baru,negatif
orang gada guna masih dipake aje indonesiagelap,negatif
ada pertanyaan apakah mafia migas diternak oleh rezim yg lalu gw jawab iya negara kita dikepung oleh korupsi akut yg menyakitkan rakyat inilah yang kita sebut indonesiagelap sedangkan elite tak merasakan kegelapan itu mereka tak tau rasanya miskin,negatif
jaket motor pria bahan parasut jn waterproof furing billabong adem tidak panas varian size m xl harga dm bumn danantara spbu pertamina pertalit pertamax ron riza chalid indonesiagelap,netral
kapan lagi bisa lepas hutang pinjol dan dapat modal usaha cumacuma aplikasi pinjol jadi momok menakutkan amp sering memakan korban jadi kini saat kita balas mereka siap melayani kaburajadulu indonesiagelap indonesiaemas,negatif
bubarkanpolisi ripindonesia indonesiabubar indonesiagelap mulyonodajjal sosok dajjal bereujud jokowi ada di indonesia tipu daya nya sungguh dahsyat tanda kiamat sudah dekat,negatif
yang ini semoga ada balasan dari si coklat biar seru indonesiagelap kabinetkorup,netral
anak berhadapan dengan hukum butuh penanganan khusus quadriliun indonesiagelap,netral
mari gerakkan revolusi sosial kalau begitu bung banyak rakyat siap ikut indonesiagelap,negatif
menteri begini kok masih dipakegimana menuju indonesia emas indonesiagelap,negatif
jaket pria casual formal bahan cotton baby canvas premium adem tidak panas dan lembut furing katun aclirik varian size m xl harga dm bumn danantara spbu pertamina pertalit pertamax ron pertaminasarangkoruptor indonesiagelap,positif
berharap apa pertamax aja di oplos indonesiagelap,netral
itu karena rakyat diem bae kagak bisa ngadilin mulyono laknat ini kata terpercaya dia saat ini masih kalo kalean bisa ngalahin saya hebat indonesiagelap kapan,negatif
haus demokrasi dukung aksi dengan kesegaran di tengah panasnya aksi di jalanan saat indonesiagelap minggu lalu haus hadir buat kasih dukungan lewat bagibagi minuman gratis karena suara rakyat itu penting dan perjuangan butuh tenaga biar gak kehausan pas teriak,positif
kalau kehabisan stock pertalite bisa ganti ke pertamax kok sama aja indonesiagelap,netral
breaking news kilang minyak cilacap kebakaran negara rugi lagi bukan cuma karena korupsi tapi juga percikan api hmmmm pen curiga sih tapi takut dimatamatain kang siomay depan rumah indonesiagelap,negatif
presiden sedang bersihbersih pemain lama pengen ganti semuanya dengan pemain baru yang bisa aja lebih kotor indonesiagelap peringatandarurat,netral
bukan matahari di indonesia tapi gerhana matahari wajar lah indonesiagelap,netral
neginipenuhdg koruptor mafia kkn preman markup tkparkir tambang penegakan hukum kemana aparat hukum lapangan kerja s pd ngojek phk begal rampok babathutan pertamina pejabattitipan pejabatgiveaway kaum elite warga kls satu apaygtersisatukwarga apasaatnyatataulang indonesiagelap,negatif
gila capek banget sama pejabat mana minta anggaran pemilu ulang hampir t cuma karena masalah admin yang ndk teliti udah mah syaratnya gampang gini aja masih ndk teliti pilkada bermasalah masih ngelak indonesiagelap lucu emang orangorang denial,negatif
indonesiagelap ndasmu,negatif
warisan rejim mulyono yang menghalalkan segala cara demi tercapainya tujuansudah saatnya bagi pemerintahan baru untuk menyingkirkannya dari pemerintahankabinet please note kebijakannya terkait gas bersubsidi kg belum lama ini indonesiagelap ndasmu,netral
akibat pertamina pagar laut danantara indonesiagelap sampe mbg hanyut,netral
kalau cuma bermimpi anak kecil jauh lebih bisa kalau mau ngarang orang gila jauh lebih bisa kalo mau ngeramal dukun jauh lebih bisa indonesiagelap,negatif
pokoke indonesiagelap,positif
apa ini untuk menghilangkan alatbukti hanya allah swt yang tau ramadan ramadhan daruratkorupsi indonesiagelap adilijokowi jumatberkah pertaminasarangkoruptor pertamax pertamaxoplosan,netral
mereka di indonesia negara koruptor terbesar di dunia kabinetkorup indonesiagelap pagarlaut,negatif
ini yang jahat siapa sih rakyat yang perutnya lapar atau pejabat yang buncit karena rakus indonesiagelap,negatif
sumber waras pengadaan bus way dari china dimana dia berada selalu ada kasus korupsi diakan di indonesia negara koruptor terbesar di dunia kabinetkorup indonesiagelap pagarlaut,negatif
berarti kan kita gak miskin tapi pemerintahnya aja yg skill issue serakah pula kalo dibagibagi cuma ke kelompoknya aja rakyat mah dikasihnya cuma remahanremahan upil belum lagi ormas buzzer yg siap provokasi rakyat dah lah indonesiagelap,negatif
sumber waras pengadaan bus way dari china dimana dia berada selalu ada kasus korupsi diakan di indonesia negara koruptor terbesar di dunia kabinetkorup indonesiagelap pagarlaut,negatif
kurang tolol apa coba yang bermasalah pertamina yang disidak spbu shell indonesiagelap indonesiandasmu,netral
indonesia sedang mode gelap indonesiagelap tapi rakyatnya yang tangguh dimenghadapi kegelapan terima kasih orang tangguh dan orang yang menjaga kewarasan,positif
mau ngarep apa dari pemimpin en pemerintahan yang model gituan modal oplos konstitusi en rekam jejak di masa lalu yang kelam indonesiagelap,negatif
dia juga kayaknya yang bantu atur waktu disorot kabur begitu sudah ada tumbal jadi bahan laporan bisa nggak sih sesekali diusut tuntas indonesiagelap,negatif
jawaban demo indonesiagelap diresmikannya danantara korupsi kuadraliun oleh pertamina dan dinyinyir mana ada indonesia gelap sama presidennya sendiri gelooooo,negatif
main di exabet bisa jajan apa aja pertaminasarangkoruptor pertamax pertalite korupsipertamina pepaya liverpool exabet slotgacor cewekmontok bumn ahok arsenal pertegashukumindonesia indonesiagelap indonesianidol danantara timnasindonesia balapliar,netral
baru jabat kedes udh tenggil bnget ahlak ga di pakai gmna mau maju negri in kualitas i pemimpin nya di bawah rata ga ada program amp inovasì selama mnjabat tau nya cuma trima gaji korup uang rakyat tp heran nya bs kepilih yg model odong indonesiagelap,negatif
ternyata memang sudah mendarah daging dri dlu indonesiagelap,positif
makin meroket indonesiagelap indonesiandasmu,netral
memang semakin aneh saja pemerintah saat ini rakyatnya diperas habishabisan sedangkan uangnya dipakai untuk investasi danantara yang tidak jelas pertanggungjawabannya ganjarpranowo oposisi danantara kaburajadulu indonesiagelap,negatif
so masih bilang salah kalo ada tagar indonesiagelap,negatif
misteri terselubung yang masih belum terungkap dalam kasus ini memerlukan investigasi lebih lanjut untuk memastikan bahwa hakhak buruh dan masyarakat papua dilindungi bersihbersih indonesiagelap lacasadelosfamososcol,netral
sekedar ide gimana kl koruptor di penjara cukup thn aja tapi tiap hari tarung gladiator sama macan babi hutan gorila indonesiagelap boycotpertamina,negatif
hrsnya hukuman koruptor diperberat min th makin gede korupsinya makin berat hukumannya sampe hukuman mati disita semua harta hasil korupsinya denda trus jg hrs adil tidak tebang pilih siapapun hrs diadili ganyangkoruptor indonesiagelap,negatif
rakyat bantu rakyat tni dan polisi bantu oligarki indonesiagelap,netral
presiden baru tapi cara menangnya pemilu sama dengan yg presiden lama x nyapres dimenangkan tapi dengan syarat harus melanjutkan program presiden lama ora kacek sama jugak sami mawon indonesiagelap,netral
please kawal danantara tp kawalnya gmn indonesiagelap,netral
modelan kayak gini jadi menko pangan hadeuh indonesiagelap,negatif
takut aguan indonesiagelap adilijokowi prabowoarogan darkindonesia,netral
rakyat sudah muak dengan orang yang kkn tolong pak presiden buat undang miskinan bila perlu hukum mt untuk pelaku kkn kaya negara china jgn terbentur ham pelaku kkn jg melanggar ham ke masyarakat untuk menerima manfaat dari negara indonesiagelap,negatif
ini orang jabatan nya apa sih nepotisme indonesiagelap darkindonesia adilijokowi prabowoarogan,negatif
indonesiagelap literally ooiii mau zoom lama nih,negatif
ndut anak bayi skrg tak tidur senyenyak ini lagi indonesiagelap,netral
ini namanya indonesiagelap,negatif
ndasmu urusin tuh pertamina indonesiagelap adilijokowi,netral
aksi masa aliansi mahasiswa dan rakyat sipil di kota bengkulu bumi raflesia melawan kembali memakan korban dari represifitas aparat dalam aksi indonesiagelap terdata ada orang yang menjadi korban dari kekerasan instansi kepolisian hidup korban jangan diam lawan,netral
bermula ijazah palsu janji palsu produksi mobil palsu buat modal propaganda pemilu yang dimenangkan dengan angka terindikasi palsu lalu berturut kejadian event uang palsu dan bbm palsu belum terhitung kebahagiaan palsu dan perempuan palsu di medsos indonesiagelap,negatif
sm langsung bikin grup anti o cocok ikii geg hastag indonesiagelap pehh josss iki,positif
lanjutkan reformasi atau indonesiagelap,netral
bersihbersih barbuk indonesiagelap,positif
mukenya pada lugu polos gitu tapi kelakuannya ntu kek babi ape aje dimakan rakus bener kelakuan loe pade lebih dari garong raja garong nenek moyang garong demitnya demit garong koruptorhukummati pertaminasarangkoruptor pertamaxoplosan indonesiagelap,negatif
indonesiagelap cilik kabeh,negatif
mau bangettt ikut revolusi di indonesiagelap udah muak dengan korupsi ini,negatif
dilakukan di kala senja sesuai dengan tema yaitu indonesiagelap hmmm indie banget,negatif
diduga nanti danantara bukan objek penyelengara negara yg tak tersentuh audit dan pertanggung jawaban hukum jika terjadi penyimpangan seperti ini makin indonesiagelap indonesiacemas atau indonesiaterang sieh jangan tanya buzzee selama proyek ada logika kebalik balik,negatif
muka jelek riwayat akademik jelek kebijakan jelek partai jelek akhlak jelek sebagai lulusan ui gue memberikan saran untuk ui lebih baik keluarkan aja si bahlil hanya memberikan citra buruk aja indonesiagelap peringatandarurat,negatif
yg masyarakat indonesia mau itu simpel aja sih ga aneh aneh kok sahkan uu perampasan aset para koruptor sampai dengan korupsi di atas m hukum mati para koruptor dengan korupsi di atas m indonesiagelap,negatif
danantara komplotan koruptor indonesiagelap viral viralindo viralterbaru,netral
darkindonesia darkindonesia cause kentutomonomon indonesiagelap muke paling afdol kalo digebukin se indonesia,netral
kejaksaan kejar tayang buat naikin survey indonesiagelap kaburajadulu ruukejaksaan kasustimah,negatif
kadang berfikirbangsa kita manage sampah rumah tangga aja belum bisaskrg mau manage investasi danantarabeneran ta ini danantara vina indonesiagelap,negatif
indonesiagelap bangsa indonesia sedang mengalami krisis definisi energi nasional bumn swasta koperasi mangkrak ruu koperasi berprinsip my planningprocesses macet inefficiency rpp kebijakan energi nasional,netral
gelo langit semarang gelap banget malem ini sambutan untuk indonesiagelap kah,negatif
real sampe buat tandingan semu liat aja bahkan mereka mau nyamain dresscode demo indonesiagelap cc,negatif
akhirnya darius join lawan pejabat koruptor rezimkoruptor indonesiagelap,negatif
perjuangan belum selesai indonesiagelap,negatif
penghilangan barbuk di pertamina yang disidak dpr ri malah shell wkwkwkwkwk lawak pertaminapenipu indonesiagelap,negatif
kasus pertamax kalau ditotal hampir kuadriliun itu baru dari perusahaan bumn apakabar itu danantara yg akan mengelola semua aset negara apakah akan terus menghancurkan negeri demi memperkaya diri pertamax indonesiagelap,negatif
parade senja tiba tiba mati lampu sangat memalukan indonesiagelap,negatif
ga bisa di samain bang makanya bener tuh indonesiagelap,negatif
semogaa bisa yaa nunggu si gendut iu turun jabatan karna klo masi dia yg menjabat rasanya mustahil indo bisa maju indonesiagelap,negatif
makin jelas kepentingan siapa indonesiagelap kaburajadulu mahkamaagungbikinresah timah,netral
tokoh terkorup dunia dipiara pemerintahan saat ini indonesiagelap,negatif
mulyono tau tapiwe know laaaa indonesiagelap indonesiagelap,netral
tolak mbg mk coco ikutan demo indonesia gelap ongezellig indonesiagelap,netral
bali indonesiagelap,positif
terus bagaimana membuat mempertanggungjawabkan semua itu pdip sebagai partai pengusung juga sudah memecat jokowi jadi dari avenue mana jokowi bisa dihukum ugm sebagai institusi yang diperalat namanya mungkin bisa menuntut tapi apakah mau indonesiagelap,negatif
aneh nya negara menipu rakyatnya indonesiagelap,negatif
tps pilkada se indonesia ternyata harus diulang biaya siapa rakyat lah dari mana duitnya entahlah indonesiagelap darkindonesia check out deddysitoruss video tiktok,netral
yg daerahnya ada spbu non plat mrh selamat ya spbu pindah ke swasta dana di himbara pd pindah jg le swasta nanti apalagi begini msh denial kl indonesiagelap,netral
tapi mahkamahnya mk paman percumaaaaa indonesiagelap indonesiagelap,negatif
harusnya erick juga bertanggung jwb atas kejadian ini ini korupsi besar²an duit rakyat hanya dinikmati sendiri bersama keluarga kolega dan kerabatnya indonesiagelap hukum dipermainkan oleh rezim abal abal,negatif
aduhhhh ini benar² indonesiagelap jadi gelap gara² nih orang,negatif
pernikahan selama belasan tahun berakhir begitu saja apa alasan sebenarnya fakta mengejutkan terungkap asricerai faktamengejutkan beritaviral rumahtangga trendingnow indonesiagelap kaburajadulu pertamax pertamina pertalite spbu mygoldenblood,netral
untuk memuluskan proyek china one belt one road betulkan pak masak anda diam aja sejengkal nkri dirampas kalau direbut paksa kembali aja gimana setuju gak kalau gak di bombardir aja pik amp indonesiagelap luhut,negatif
makanya keliatan kan yg demo mahasiswab ori sama yg bayaran itu jelas bayaran orang indonesiagelap,negatif
indonesiagelap buat rakyat tapi terang benderang buat pejabat korupkroni,negatif
hahaha puji bahlil indonesiagelap,positif
breaking news kilang minyak cilacap terbakar wownegara bakal merugi lagibukan cuma kerugian efek korupsi tapi jg efek percikan api hmmmmmm pen curiga tapi takut sama kang siomay depan rumah indonesiagelap,negatif
gelap gelap dah indonesiagelap,negatif
ada multiple orgasme dooong indonesiagelap indonesiagelap,netral
alangkah baiknya presiden dan membuat uu baru tentang korupsi bab i ayat pelaku korupsi di pelihara oleh negara indonesiagelap,negatif
belum oplos jadi pertamax tapi tangki pertalite di area lomanis kilang pertamina cilacapjawa tengah terbakar kerugian negara ulah babi ngepet direksi pertamina pun rp triliun bukan rp triliun indonesiagelap indonesiacemas,negatif
anjir begitu bahagianya jadi pejabat di negeri konoha ini pak warga tertindas tetap aka oke gaez oke gaez indonesiagelap,negatif
dari kepala sampai ekor korupsi semua gaess emang bener bener negara ini hancur dari segala aspek indonesiagelap indonesiacemas korupsi kotacirebon pdam,negatif
seperti becus indonesiagelap indonesiagelap,negatif
negri sdh merdeka indonesiagelap adilijokowi,netral
ton dibagi buat elite dan keluarga saja masih kurang waduh indonesiagelap,negatif
liat rakyat mu pak kebutuhan dasar dulu baru investasi indonesiagelap indonesiakasian danantarakonspirasijahat tolakdanantara pagarlaut,netral
negri sdh merdeka indonesiagelap adilijokowi,netral
boro diperlakukan begitu disini semua aja di pajakin indonesiagelap indonesiacemas,negatif
kata di kabinetnya orang² hebat bro bukankah salah satu nya ndasmu indonesiagelap adilijokowihargamati,positif
numpang spotlight di kolom komentar coba refleksi minggu terakhir apa yang lenyap oh ya pagar laut ilang danantara hampir hilang demo indonesiagelap juga ilang,negatif
jangan main tapi sungkem dulu sama sang raja korup dan gratifikasi sepanjang masa indonesiagelap,negatif
lah terus ron berapa indonesiagelap pertaminasarangkoruptor pertamaxoplosan pertamax pertamaxpertalite pertalite tanpa antri,negatif
gw inget nyumpahin sby gara century t dan perang komen di komentar ternyata itu sudah jauh terlewati seakan akan udah beda jaman indonesiagelap,negatif
hidup jokowi hidup jokowi hidup jokowi ndasmu indonesiagelap,positif
update dpt tsk baruperkiraan capai lbh dr t gilak aja dah awowkwkwowk indonesiagelap,negatif
update dpt tsk baruperkiraan capai lbh dr t gilak aja dah awowkwkwowk indonesiagelap,negatif
rakus indonesiagelap,negatif
tolak proyek ikn kalimantan tolak amp tolak pemindahan ibukota negara indonesia dengan secepat nya amp sekarang dki jakarta tetap ibukota negara indonesia nkri adilijokowi adiliaguan indonesiagelap reformasipolri copotampgantipimpinankpk bayarpolisi,netral
gak usah dituntut aja pak jaksa biar rakyat gak bingung siapa yang dibantu dan disubsidi pemerintah lewat pertamina indonesiagelap kaburajadulu,negatif
negri sdh merdeka indonesiagelap adilijokowi,netral
tolak amp tolak proyek pik yang ber kedok psn dengan secepat nya amp sekarang adilijokowi indonesiagelap tangkap amp adili jokowi aguan cs ganyangfufufafa ganyangkoruptor hukummatidanmiskinkankoruptor indonesiamilikamppunyarakyat makzulkanfufufafa,negatif
negri sdh merdeka indonesiagelap adilijokowi,netral
ini orang airlangga bahlil budi arie adalah kriminal terbesar di kementrian indonesiagelap,negatif
borok si bajigur tulul sebiji demi sebiji mulai terungkap berapa zohlimnya dia sbg plersinden cenasuwok indonesiagelap,negatif
indonesiagelap program makan siang gratis menyita apbn,netral
dengerin nih indonesiagelap indonesiakasian danantarakonspirasijahat tolakdanantara pagarlaut,netral
astaga masih aja satuharisatupolisijahat di kala indonesiagelap ini,negatif
pematerinya aja bermasalah mau jadi apa negara ini indonesiagelap,negatif
kata siapa pea itu menteri banyak yg korup aman bae indonesiagelap,negatif
